iter	Passed	Remaining
0	144	143876
1	152	75958
2	161	53663
3	168	42000
4	175	34994
5	182	30312
6	191	27206
7	201	24951
8	209	23076
9	220	21867
10	231	20810
11	239	19746
12	247	18798
13	257	18108
14	267	17598
15	275	16972
16	285	16536
17	294	16085
18	303	15650
19	311	15252
20	320	14934
21	328	14581
22	338	14390
23	347	14141
24	357	13952
25	367	13775
26	375	13546
27	383	13319
28	390	13087
29	401	12975
30	411	12868
31	421	12762
32	430	12621
33	442	12572
34	450	12415
35	457	12257
36	469	12213
37	477	12079
38	484	11942
39	492	11817
40	501	11726
41	508	11604
42	515	11479
43	524	11387
44	531	11284
45	539	11186
46	548	11121
47	555	11021
48	563	10928
49	571	10853
50	578	10769
51	586	10688
52	595	10633
53	605	10614
54	615	10581
55	630	10629
56	638	10561
57	648	10527
58	656	10466
59	665	10421
60	673	10372
61	681	10303
62	689	10261
63	699	10224
64	706	10167
65	714	10115
66	723	10068
67	731	10031
68	740	9991
69	748	9939
70	756	9898
71	765	9867
72	772	9815
73	780	9772
74	788	9722
75	795	9673
76	802	9619
77	810	9579
78	820	9565
79	830	9546
80	838	9514
81	846	9478
82	854	9436
83	862	9409
84	871	9376
85	879	9342
86	886	9303
87	893	9262
88	901	9229
89	910	9203
90	918	9176
91	926	9141
92	938	9155
93	952	9183
94	962	9166
95	972	9153
96	979	9121
97	986	9082
98	993	9046
99	1003	9032
100	1013	9017
101	1020	8984
102	1029	8967
103	1040	8960
104	1051	8963
105	1062	8960
106	1070	8933
107	1077	8903
108	1087	8887
109	1095	8866
110	1103	8835
111	1110	8800
112	1117	8771
113	1125	8748
114	1132	8716
115	1140	8687
116	1150	8680
117	1160	8675
118	1168	8650
119	1176	8630
120	1184	8604
121	1192	8578
122	1199	8554
123	1207	8528
124	1214	8503
125	1225	8503
126	1235	8492
127	1245	8484
128	1257	8489
129	1267	8480
130	1275	8459
131	1282	8435
132	1290	8411
133	1298	8388
134	1305	8362
135	1311	8335
136	1334	8404
137	1342	8385
138	1350	8366
139	1360	8358
140	1367	8332
141	1374	8307
142	1395	8364
143	1406	8360
144	1416	8352
145	1425	8338
146	1437	8339
147	1450	8350
148	1462	8350
149	1469	8329
150	1478	8310
151	1487	8297
152	1494	8271
153	1501	8246
154	1510	8236
155	1519	8220
156	1528	8206
157	1535	8184
158	1544	8169
159	1553	8153
160	1560	8131
161	1570	8121
162	1580	8114
163	1589	8104
164	1596	8078
165	1604	8062
166	1613	8047
167	1620	8025
168	1627	8002
169	1634	7982
170	1643	7965
171	1654	7962
172	1665	7964
173	1675	7954
174	1686	7948
175	1693	7926
176	1700	7905
177	1707	7882
178	1714	7864
179	1722	7849
180	1729	7827
181	1736	7805
182	1743	7785
183	1754	7781
184	1761	7761
185	1771	7753
186	1779	7738
187	1787	7721
188	1796	7708
189	1803	7689
190	1812	7677
191	1830	7701
192	1837	7682
193	1845	7667
194	1852	7646
195	1860	7632
196	1869	7620
197	1878	7608
198	1885	7591
199	1893	7573
200	1900	7554
201	1908	7540
202	1915	7521
203	1922	7501
204	1929	7483
205	1939	7477
206	1948	7465
207	1956	7448
208	1967	7446
209	1975	7429
210	1983	7417
211	1990	7399
212	1998	7384
213	2007	7373
214	2015	7357
215	2022	7341
216	2029	7324
217	2037	7307
218	2044	7289
219	2054	7283
220	2062	7269
221	2069	7254
222	2077	7238
223	2090	7241
224	2098	7229
225	2106	7213
226	2113	7196
227	2121	7181
228	2128	7166
229	2135	7148
230	2141	7130
231	2148	7113
232	2157	7101
233	2164	7084
234	2171	7069
235	2178	7053
236	2187	7042
237	2194	7024
238	2200	7007
239	2207	6991
240	2216	6980
241	2224	6968
242	2234	6960
243	2241	6945
244	2249	6933
245	2256	6917
246	2263	6901
247	2270	6884
248	2277	6868
249	2285	6855
250	2298	6858
251	2305	6844
252	2313	6831
253	2322	6822
254	2331	6813
255	2340	6801
256	2347	6786
257	2355	6773
258	2364	6764
259	2371	6749
260	2378	6733
261	2386	6723
262	2394	6709
263	2402	6697
264	2409	6682
265	2417	6670
266	2424	6655
267	2431	6641
268	2438	6625
269	2446	6615
270	2455	6605
271	2463	6592
272	2474	6590
273	2484	6582
274	2491	6568
275	2499	6555
276	2508	6546
277	2516	6536
278	2525	6526
279	2551	6561
280	2559	6549
281	2567	6536
282	2577	6530
283	2584	6516
284	2591	6501
285	2598	6486
286	2621	6513
287	2629	6500
288	2636	6487
289	2646	6479
290	2653	6464
291	2661	6453
292	2670	6443
293	2677	6430
294	2686	6419
295	2694	6408
296	2702	6396
297	2710	6384
298	2718	6372
299	2726	6361
300	2733	6348
301	2741	6336
302	2748	6322
303	2755	6309
304	2764	6299
305	2771	6285
306	2778	6270
307	2784	6256
308	2792	6244
309	2800	6232
310	2807	6219
311	2815	6208
312	2822	6195
313	2829	6181
314	2838	6171
315	2845	6159
316	2852	6145
317	2858	6131
318	2867	6120
319	2876	6112
320	2883	6100
321	2890	6086
322	2897	6072
323	2906	6065
324	2916	6056
325	2926	6050
326	2935	6041
327	2943	6030
328	2950	6017
329	2956	6003
330	2966	5996
331	2974	5984
332	2981	5972
333	2990	5962
334	2997	5950
335	3005	5939
336	3011	5925
337	3018	5912
338	3026	5900
339	3036	5894
340	3044	5882
341	3050	5869
342	3058	5859
343	3066	5846
344	3072	5833
345	3080	5823
346	3088	5812
347	3096	5801
348	3103	5789
349	3110	5777
350	3119	5768
351	3129	5760
352	3135	5747
353	3142	5734
354	3150	5724
355	3158	5712
356	3164	5700
357	3171	5688
358	3180	5679
359	3188	5669
360	3195	5657
361	3202	5644
362	3212	5637
363	3220	5627
364	3227	5615
365	3236	5605
366	3245	5597
367	3252	5586
368	3259	5573
369	3265	5560
370	3272	5548
371	3281	5539
372	3287	5526
373	3295	5515
374	3317	5529
375	3327	5521
376	3334	5510
377	3344	5503
378	3350	5490
379	3359	5480
380	3382	5496
381	3391	5487
382	3398	5474
383	3405	5462
384	3412	5451
385	3420	5441
386	3429	5431
387	3436	5420
388	3442	5407
389	3450	5396
390	3456	5384
391	3465	5374
392	3472	5363
393	3480	5353
394	3488	5342
395	3494	5330
396	3501	5317
397	3508	5307
398	3516	5296
399	3523	5285
400	3531	5274
401	3542	5269
402	3551	5260
403	3560	5252
404	3567	5241
405	3576	5232
406	3584	5222
407	3590	5210
408	3597	5198
409	3606	5189
410	3614	5179
411	3621	5168
412	3627	5155
413	3636	5147
414	3645	5138
415	3652	5127
416	3673	5135
417	3683	5128
418	3690	5116
419	3697	5106
420	3705	5096
421	3714	5087
422	3723	5078
423	3732	5070
424	3755	5081
425	3763	5071
426	3771	5061
427	3779	5051
428	3789	5043
429	3797	5033
430	3803	5021
431	3809	5009
432	3817	4999
433	3827	4991
434	3833	4979
435	3840	4968
436	3847	4957
437	3857	4949
438	3864	4938
439	3871	4927
440	3878	4915
441	3885	4905
442	3895	4897
443	3906	4891
444	3914	4882
445	3923	4873
446	3931	4863
447	3939	4854
448	3976	4879
449	3984	4869
450	3991	4858
451	3999	4849
452	4014	4847
453	4020	4835
454	4028	4824
455	4037	4817
456	4045	4806
457	4052	4795
458	4059	4785
459	4066	4774
460	4074	4763
461	4080	4751
462	4087	4740
463	4099	4735
464	4106	4724
465	4112	4713
466	4122	4704
467	4130	4694
468	4136	4683
469	4143	4672
470	4152	4663
471	4165	4659
472	4173	4649
473	4180	4639
474	4190	4631
475	4196	4620
476	4203	4608
477	4214	4602
478	4223	4594
479	4232	4584
480	4239	4574
481	4246	4563
482	4254	4553
483	4260	4542
484	4270	4534
485	4278	4524
486	4286	4515
487	4294	4505
488	4301	4495
489	4311	4487
490	4318	4477
491	4325	4466
492	4333	4456
493	4341	4446
494	4349	4437
495	4357	4428
496	4365	4418
497	4376	4411
498	4383	4400
499	4390	4390
500	4412	4395
501	4420	4385
502	4429	4376
503	4438	4368
504	4446	4358
505	4453	4348
506	4460	4337
507	4481	4340
508	4488	4329
509	4496	4319
510	4503	4309
511	4510	4299
512	4518	4289
513	4528	4281
514	4535	4270
515	4542	4260
516	4549	4250
517	4574	4256
518	4590	4254
519	4600	4246
520	4608	4237
521	4617	4227
522	4624	4217
523	4635	4210
524	4647	4204
525	4654	4194
526	4663	4185
527	4676	4180
528	4684	4170
529	4694	4163
530	4704	4155
531	4713	4146
532	4721	4137
533	4731	4129
534	4741	4120
535	4749	4111
536	4757	4101
537	4765	4091
538	4771	4081
539	4778	4070
540	4787	4061
541	4798	4055
542	4806	4044
543	4813	4034
544	4819	4023
545	4830	4016
546	4837	4006
547	4845	3996
548	4852	3986
549	4860	3976
550	4868	3967
551	4876	3957
552	4883	3947
553	4890	3937
554	4897	3927
555	4905	3917
556	4913	3908
557	4922	3899
558	4930	3889
559	4937	3879
560	4945	3869
561	4952	3859
562	4960	3850
563	4967	3840
564	4975	3830
565	4984	3821
566	4993	3813
567	5003	3805
568	5012	3797
569	5020	3787
570	5028	3777
571	5036	3768
572	5044	3758
573	5051	3749
574	5058	3738
575	5065	3728
576	5073	3719
577	5081	3709
578	5090	3701
579	5098	3691
580	5104	3681
581	5111	3670
582	5120	3662
583	5129	3653
584	5135	3643
585	5142	3633
586	5150	3623
587	5159	3615
588	5167	3606
589	5174	3595
590	5183	3587
591	5191	3578
592	5200	3569
593	5206	3558
594	5216	3550
595	5223	3540
596	5231	3531
597	5238	3521
598	5246	3511
599	5253	3502
600	5259	3491
601	5267	3482
602	5276	3474
603	5284	3464
604	5291	3454
605	5300	3445
606	5308	3436
607	5315	3427
608	5322	3417
609	5329	3407
610	5339	3399
611	5347	3389
612	5353	3379
613	5360	3370
614	5369	3361
615	5378	3352
616	5385	3342
617	5392	3333
618	5400	3324
619	5409	3315
620	5419	3307
621	5427	3298
622	5435	3289
623	5443	3279
624	5449	3269
625	5458	3261
626	5466	3252
627	5473	3242
628	5480	3232
629	5489	3223
630	5496	3214
631	5504	3204
632	5511	3195
633	5517	3185
634	5527	3176
635	5534	3167
636	5541	3157
637	5547	3147
638	5570	3147
639	5578	3137
640	5585	3128
641	5592	3118
642	5618	3119
643	5628	3111
644	5636	3102
645	5642	3092
646	5648	3082
647	5661	3075
648	5670	3066
649	5677	3057
650	5684	3047
651	5691	3037
652	5702	3030
653	5709	3020
654	5717	3011
655	5724	3001
656	5733	2993
657	5742	2984
658	5749	2974
659	5757	2965
660	5766	2957
661	5773	2947
662	5780	2938
663	5787	2928
664	5794	2919
665	5802	2910
666	5824	2907
667	5833	2899
668	5841	2890
669	5849	2880
670	5856	2871
671	5864	2862
672	5873	2853
673	5880	2844
674	5890	2836
675	5899	2827
676	5906	2817
677	5928	2815
678	5937	2807
679	5945	2797
680	5967	2795
681	5977	2786
682	5987	2778
683	5994	2769
684	6001	2759
685	6009	2750
686	6027	2746
687	6034	2736
688	6045	2728
689	6054	2719
690	6061	2710
691	6069	2701
692	6078	2692
693	6085	2683
694	6092	2673
695	6100	2664
696	6107	2655
697	6115	2646
698	6123	2636
699	6131	2627
700	6138	2618
701	6148	2609
702	6155	2600
703	6162	2591
704	6170	2582
705	6177	2572
706	6185	2563
707	6192	2554
708	6200	2544
709	6207	2535
710	6216	2526
711	6223	2517
712	6229	2507
713	6236	2497
714	6243	2488
715	6251	2479
716	6263	2472
717	6270	2462
718	6278	2453
719	6286	2444
720	6293	2435
721	6300	2425
722	6308	2417
723	6317	2408
724	6323	2398
725	6330	2389
726	6338	2380
727	6359	2375
728	6369	2367
729	6377	2358
730	6384	2349
731	6390	2339
732	6397	2330
733	6406	2321
734	6413	2312
735	6420	2303
736	6427	2293
737	6438	2285
738	6446	2276
739	6453	2267
740	6462	2258
741	6470	2250
742	6480	2241
743	6489	2232
744	6499	2224
745	6506	2215
746	6512	2205
747	6522	2197
748	6532	2189
749	6540	2180
750	6548	2171
751	6556	2162
752	6564	2153
753	6571	2143
754	6578	2134
755	6586	2125
756	6595	2117
757	6603	2108
758	6610	2098
759	6618	2089
760	6627	2081
761	6635	2072
762	6643	2063
763	6652	2054
764	6659	2045
765	6667	2036
766	6674	2027
767	6683	2018
768	6692	2010
769	6699	2001
770	6720	1996
771	6730	1987
772	6737	1978
773	6747	1970
774	6755	1961
775	6762	1952
776	6769	1942
777	6777	1934
778	6788	1925
779	6797	1917
780	6804	1908
781	6813	1899
782	6820	1890
